ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
42,39,4.728607,-74.05397,PTI,g/h,0.00034241,0.00023436,0.00024295,0.00034994,0.0009816,0.0022589,0.00261391,0.00240264,0.00254324,0.00225005,0.00265248,0.00241281,0.00244512,0.00248957,0.00256881,0.0027817,0.00281024,0.00256912,0.00212292,0.00196188,0.00176206,0.00150805,0.00102504,0.0006365,0.00034241,
53,37,4.8272,-74.072,PM10 BRAKE,g/h,40.90152424,24.7404931,23.21757432,32.421903,101.58151728,330.80165613,495.97691453,374.01792116,371.28095779,328.37649936,351.86385119,334.43747284,345.12685239,373.50752588,405.20625368,463.14483344,450.04140156,423.02968226,362.84512238,336.90434483,303.66191483,244.46016019,151.204328,78.65499187,40.90152424,
42,39,4.728607,-74.05397,PNH4,g/h,0.0167234,0.01126375,0.01142109,0.01617935,0.04580421,0.11564133,0.1490255,0.13001652,0.13202877,0.11534536,0.13342713,0.12302891,0.12498671,0.12898088,0.13489132,0.14979537,0.15050857,0.14209038,0.11662476,0.10400725,0.09241877,0.07846089,0.05232974,0.03072027,0.0167234,
53,37,4.8272,-74.072,PAR,mol/h,10.4310492,6.86400079,6.45500887,8.41569224,26.92366404,95.60573014,154.6618354,110.94532169,99.04745868,79.39442811,87.38145399,83.82577154,87.81076412,97.23167934,108.74147441,139.4627801,132.97614541,125.07319773,98.20784703,79.11630257,67.78411609,55.50865556,35.3597877,17.76963763,10.4310492,
53,37,4.8272,-74.072,PAL,g/h,0.03406405,0.0230385,0.02362506,0.03371122,0.09475928,0.22978707,0.28218364,0.25177155,0.26204029,0.23148418,0.26971456,0.24733084,0.25086349,0.25728755,0.26699333,0.29085736,0.2930796,0.27327631,0.22669004,0.20685156,0.18501242,0.15704779,0.10501812,0.06301276,0.03406405,
53,37,4.8272,-74.072,PM10 TIRE,g/h,5.28085538,3.07056522,2.78819916,3.71211553,10.9988342,41.07693295,65.67986216,48.93065986,49.72452158,46.32600227,49.00209602,47.25220907,48.09883772,51.81434272,55.91641881,60.08214639,58.98491259,58.17018719,51.86049089,48.85715448,44.11480813,35.12610873,20.62767724,10.05601284,5.28085538,
53,37,4.8272,-74.072,CO,g/h,4018.80459274,2805.59621658,2685.94064708,3445.59102877,11664.082334,42155.0901554,66935.0551537,44007.6697896,37692.624499,27974.0844009,31522.2255597,30223.1911666,32621.2278744,37539.8815907,43507.1987237,60937.7377903,55986.9400482,48833.6560023,36636.0496777,28181.7334676,23593.8295762,19051.1804381,12328.6101492,6335.24807435,4018.80459274,
42,39,4.728607,-74.05397,ISOP,mol/h,0.00012253,7.717e-05,8.095e-05,0.00011414,0.00034589,0.00077415,0.0008369,0.00086204,0.00096625,0.00089194,0.0009935,0.00090649,0.00090115,0.00090073,0.00092316,0.00095475,0.00099258,0.0008949,0.0007539,0.00071178,0.00064897,0.00055757,0.00038052,0.00024727,0.00012253,
42,39,4.728607,-74.05397,PFE,g/h,0.00761607,0.00501567,0.00494812,0.0068744,0.0197032,0.05537393,0.07894651,0.06580563,0.06425777,0.0554892,0.0628395,0.05880206,0.05987838,0.06263766,0.06637673,0.07537958,0.07539683,0.0733784,0.05997863,0.05186061,0.04564528,0.03841243,0.02513014,0.01381874,0.00761607,
42,39,4.728607,-74.05397,TOL,mol/h,0.01933615,0.01386129,0.01325356,0.01701279,0.05919322,0.2131915,0.3450974,0.22819412,0.18609572,0.12900935,0.1469014,0.14087982,0.15404965,0.1791364,0.20995402,0.30952446,0.28399277,0.24897448,0.17907189,0.12757327,0.10356769,0.08516087,0.05787832,0.02941738,0.01933615,
42,39,4.728607,-74.05397,PNA,g/h,0.00122644,0.00083591,0.00088167,0.00129858,0.00362819,0.00770617,0.00795291,0.00779736,0.00864012,0.00777241,0.00926217,0.00833286,0.00841426,0.00844652,0.00859246,0.00899155,0.00917665,0.00814176,0.00684131,0.00663347,0.00604824,0.00520252,0.00361134,0.0023168,0.00122644,
42,39,4.728607,-74.05397,TOG,g/h,32.0425611,20.54379558,19.06733881,24.89484875,77.24949799,282.1710058,457.9663471,327.72145808,302.71887909,254.37141036,277.15732501,266.62561227,277.22011698,305.36265666,338.48936318,413.40390237,395.90742119,377.10280545,307.65829177,261.07975244,227.69286315,184.10624276,113.1173962,55.99029216,32.0425611,
53,37,4.8272,-74.072,PK,g/h,0.01045463,0.00713593,0.0073759,0.01060396,0.02978324,0.06941079,0.08161713,0.07443844,0.07832232,0.06917547,0.08131627,0.07411299,0.07512928,0.07663909,0.07923099,0.08609848,0.08692188,0.07985602,0.06593223,0.06062312,0.05436918,0.04647569,0.03150767,0.01940462,0.01045463,
42,39,4.728607,-74.05397,CO2,g/h,11313.5567358,6658.03981505,6131.73995733,8306.69795074,23755.2579469,83481.1461297,131282.687172,101148.300333,103155.245546,96181.3537456,102685.441247,98561.4304169,99847.1304632,106435.753933,113972.64817,120926.89857,120182.845096,119910.113839,106214.282311,99722.3344357,90081.7331028,72381.6468644,43226.3350913,21442.814015,11313.5567358,
42,39,4.728607,-74.05397,ALD2,mol/h,0.0070407,0.00480893,0.00486647,0.00659895,0.02178312,0.0628886,0.0859816,0.06369737,0.05991742,0.04733919,0.05374936,0.04992259,0.05256877,0.05756619,0.06427621,0.08470395,0.07982247,0.06728608,0.05115014,0.04199779,0.03624954,0.03021381,0.02066401,0.01246727,0.0070407,
42,39,4.728607,-74.05397,PEC,g/h,0.74036613,0.47895053,0.49659444,0.72175632,2.15704765,4.62566048,4.93269358,5.07859568,5.59529523,5.0618365,5.70147491,5.15138635,5.17878438,5.19426646,5.2978512,5.5742302,5.77407881,5.19939468,4.31958638,4.13072546,3.79062669,3.27629392,2.27888227,1.51866092,0.74036613,
53,37,4.8272,-74.072,TERP,mol/h,0.00060193,0.00038051,0.00040139,0.00056803,0.00173728,0.00380594,0.00402177,0.00422317,0.00472675,0.00433079,0.00483341,0.00439428,0.00436975,0.00435426,0.00445463,0.00464508,0.0048369,0.00432209,0.00360429,0.00338421,0.00308406,0.00266865,0.00184852,0.00122057,0.00060193,
53,37,4.8272,-74.072,XYL,mol/h,0.39811121,0.28125052,0.26738867,0.34302817,1.18104928,4.26477492,6.99436231,4.73897654,3.87542721,2.72686253,3.08252843,2.96108558,3.20899884,3.69167477,4.29049146,6.23140517,5.77670577,5.18983524,3.75663644,2.67370065,2.17432643,1.80208086,1.22567186,0.61374484,0.39811121,
